,narrative
3540,writing compendium re: disqualifying expert
3541,editing memorandum re: summary judgment
3542,editing notice of motion re: refusals
3543,reviewing factum re: summary judgment
3544,writing motion record re: injunction
3545,briefing notice of motion re: injunction
3546,researching book of authority re: disqualifying expert
3547,briefing notice of motion re: motion to strike
3548,preparing factum re: disqualifying expert
3549,analyzing book of authority re: motion to strike
3550,briefing order re: disqualifying expert
3551,revising order re: summary judgment
3552,revising compendium re: refusals
3553,briefing memorandum re: motion to strike
3554,writing memorandum re: disqualifying expert
3555,revising analysis re: summary judgment
3556,briefing memorandum re: disqualifying expert
3557,editing order re: motion to strike
3558,writing compendium re: motion to strike
3559,writing analysis re: disqualifying expert
3560,reviewing affidavit re: refusals
3561,preparing affidavit re: injunction
3562,reviewing memo re: refusals
3563,proofing notice of motion re: enforcing foreign judgment
3564,analyzing motion record re: enforcing foreign judgment
3565,drafting order re: summary judgment
3566,proofing memorandum re: summary judgment
3567,analyzing memo re: disqualifying expert
3568,reviewing order re: injunction
3569,revising book of authority re: motion to strike
3570,revising book of authority re: summary judgment
3571,revising analysis re: motion to strike
3572,proofing book of authority re: disqualifying expert
3573,analyzing memorandum re: enforcing foreign judgment
3574,analyzing notice of motion re: refusals
3575,preparing affidavit re: injunction
3576,writing memo re: enforcing foreign judgment
3577,writing motion record re: disqualifying expert
3578,researching memorandum re: disqualifying expert
3579,editing compendium re: disqualifying expert
3580,proofing notice of motion re: enforcing foreign judgment
3581,editing notice of motion re: disqualifying expert
3582,drafting motion record re: summary judgment
3583,proofing notice of motion re: disqualifying expert
3584,reviewing order re: summary judgment
3585,analyzing analysis re: disqualifying expert
3586,revising motion record re: injunction
3587,proofing compendium re: motion to strike
3588,researching motion record re: motion to strike
3589,analyzing notice of motion re: summary judgment
3590,preparing affidavit re: injunction
3591,writing compendium re: motion to strike
3592,drafting factum re: refusals
3593,analyzing motion record re: refusals
3594,reviewing memo re: injunction
3595,revising compendium re: refusals
3596,revising memo re: refusals
3597,writing compendium re: refusals
3598,analyzing order re: summary judgment
3599,briefing memo re: disqualifying expert
3600,researching order re: injunction
3601,drafting affidavit re: disqualifying expert
3602,preparing memorandum re: disqualifying expert
3603,researching order re: refusals
3604,researching affidavit re: injunction
3605,analyzing motion record re: enforcing foreign judgment
3606,preparing motion record re: summary judgment
3607,revising order re: injunction
3608,drafting motion record re: refusals
3609,editing memorandum re: enforcing foreign judgment
3610,drafting book of authority re: motion to strike
3611,proofing memo re: injunction
3612,revising memorandum re: disqualifying expert
3613,writing memorandum re: motion to strike
3614,writing factum re: enforcing foreign judgment
3615,researching motion record re: injunction
3616,analyzing compendium re: injunction
3617,analyzing motion record re: refusals
3618,revising notice of motion re: summary judgment
3619,proofing factum re: motion to strike
3620,reviewing book of authority re: motion to strike
3621,briefing factum re: refusals
3622,editing book of authority re: disqualifying expert
3623,editing affidavit re: refusals
3624,preparing memorandum re: enforcing foreign judgment
3625,proofing notice of motion re: refusals
3626,briefing analysis re: enforcing foreign judgment
3627,proofing analysis re: disqualifying expert
3628,revising analysis re: motion to strike
3629,writing analysis re: disqualifying expert
3630,proofing book of authority re: injunction
3631,editing memorandum re: refusals
3632,researching motion record re: enforcing foreign judgment
3633,writing memorandum re: enforcing foreign judgment
3634,reviewing order re: motion to strike
3635,revising compendium re: disqualifying expert
3636,briefing factum re: refusals
3637,briefing analysis re: disqualifying expert
3638,writing analysis re: disqualifying expert
3639,writing factum re: enforcing foreign judgment
3640,briefing notice of motion re: enforcing foreign judgment
3641,revising book of authority re: enforcing foreign judgment
3642,reviewing factum re: motion to strike
3643,analyzing affidavit re: injunction
3644,revising notice of motion re: refusals
3645,editing motion record re: disqualifying expert
3646,revising notice of motion re: motion to strike
3647,proofing factum re: summary judgment
3648,revising order re: enforcing foreign judgment
3649,analyzing memo re: enforcing foreign judgment
3650,revising compendium re: disqualifying expert
3651,analyzing order re: motion to strike
3652,briefing motion record re: injunction
3653,editing analysis re: disqualifying expert
3654,briefing motion record re: summary judgment
3655,editing motion record re: summary judgment
3656,researching memo re: disqualifying expert
3657,writing order re: motion to strike
3658,editing book of authority re: motion to strike
3659,analyzing affidavit re: injunction
3660,editing compendium re: injunction
3661,revising factum re: enforcing foreign judgment
3662,revising notice of motion re: summary judgment
3663,revising order re: disqualifying expert
3664,researching order re: motion to strike
3665,analyzing affidavit re: summary judgment
3666,revising memorandum re: motion to strike
3667,briefing analysis re: disqualifying expert
3668,writing book of authority re: motion to strike
3669,reviewing book of authority re: motion to strike
3670,researching affidavit re: disqualifying expert
3671,proofing analysis re: refusals
3672,proofing motion record re: refusals
3673,preparing memo re: injunction
3674,researching factum re: summary judgment
3675,researching factum re: injunction
3676,writing compendium re: injunction
3677,briefing order re: disqualifying expert
3678,editing compendium re: motion to strike
3679,proofing affidavit re: motion to strike
3680,briefing order re: enforcing foreign judgment
3681,drafting factum re: summary judgment
3682,reviewing factum re: injunction
3683,drafting compendium re: summary judgment
3684,analyzing notice of motion re: disqualifying expert
3685,briefing motion record re: disqualifying expert
3686,writing affidavit re: motion to strike
3687,reviewing memo re: disqualifying expert
3688,analyzing analysis re: summary judgment
3689,analyzing memo re: summary judgment
3690,writing factum re: enforcing foreign judgment
3691,revising analysis re: injunction
3692,analyzing factum re: motion to strike
3693,briefing notice of motion re: enforcing foreign judgment
3694,drafting order re: refusals
3695,revising memo re: disqualifying expert
3696,reviewing factum re: disqualifying expert
3697,writing compendium re: motion to strike
3698,briefing analysis re: enforcing foreign judgment
3699,preparing memo re: motion to strike
3700,preparing affidavit re: refusals
3701,drafting memorandum re: motion to strike
3702,preparing motion record re: enforcing foreign judgment
3703,briefing analysis re: disqualifying expert
3704,analyzing memorandum re: motion to strike
3705,reviewing order re: motion to strike
3706,reviewing memo re: enforcing foreign judgment
3707,editing memorandum re: motion to strike
3708,revising motion record re: summary judgment
